V-GL01;Isolierglas;Insulating Glass;020-040-020;Isolierglas;;
V-GL02;Monoglas;Mono Glass;020-040-010;Einfachglas / Laminiertes Glas;;
V-GL03;Glaslaminat;Laminated Glass;020-040-010;Einfachglas / Laminiertes Glas;;
V-GL06;Sonstiges Glas;Other Glass;020-040-040;sonstiges Glas und Zubehoer;;
V-GL07;Laminationszubehör;laminated parts;020-040-040;sonstiges Glas und Zubehoer;;
V-TI14;Titan-Sonderteil;TI Special Part;020-040-040;sonstiges Glas und Zubehoer;;
V-TI27;Titan-Fitting;TI Fitting;020-040-040;sonstiges Glas und Zubehoer;;
V-TI28;Titan-Kanal;TI Channel;020-040-040;sonstiges Glas und Zubehoer;;
V-AL27;AL-Fitting;AL Fitting;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-AL29;AL-Spider;AL Spider;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-SM27;SM-Fitting;OM Fitting;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-SM29;SM-Spider;OM Spider;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-ST17;ST-Z.-D.-Stab;MS Tension/Pressure Rod;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-ST19;ST-Seile;MS Rope;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-ST27;ST-Fitting;MS Fitting;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-ST29;ST-Spider;MS Spider;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-VA17;VA-Z.-D.-Stab;SS Tension/Pressure Rod;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-VA19;VA-Seile;SS Rope;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-VA27;VA-Fitting;SS Fitting;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-VA29;VA-Spider;SS Spider;020-050-010;Zugstaebe und Seile inkl. Zubehör;;
V-AL18;AL-Beschlag;AL Fitting;020-060-010;Systemteile Fenster und Tueren inkl. Beschlaege;;
V-AL23;AL-Fen-Profil bearb;AL Window Profile;020-060-010;Systemteile Fenster und Tueren inkl. Beschlaege;;
V-AL24;AL-Tür-Profil bearb.;AL Door Profile;020-060-010;Systemteile Fenster und Tueren inkl. Beschlaege;;
V-SM18;SM-Beschlag;OM Fitting;020-060-010;Systemteile Fenster und Tueren inkl. Beschlaege;;
V-SM23;SM-Fen-Profil bearb;OM Window Profile;020-060-010;Systemteile Fenster und Tueren inkl. Beschlaege;;
V-SM24;SM-Tür-Profil bearb;OM Door Profile;020-060-010;Systemteile Fenster und Tueren inkl. Beschlaege;;
